course,component,type
MAT175,Core,required
MAT275,Core,required
Proofs,Core,required
CSC150,Core,required
PHY271,Core,required
PHY271L,Core,required
Colloquium,Core,required
MAT431,Axiom,option
MAT441,Axiom,option
MAT451,Axiom,option
MAT461,Axiom,option
MAT494,Independent-Study,required
MAT311,Elective,option
MAT312,Elective,option
MAT352,Elective,option
MAT361,Elective,option
MAT370,Elective,option
MAT372,Elective,option
MAT399T,Elective,option
MAT431,Elective,option
MAT441,Elective,option
MAT451,Elective,option
MAT461,Elective,option